ID_ALUNO,IDADE,ANO_INGRESSO,FORMA_INGRESSO,ANO_EVASAO,FORMA_EVASAO,NATURALIDADE,ETNIA,DEFICIENCIAS,COTAS,BOLSA
041206F8E2B84E6A7B701788FE8C10CE,26-35 anos,2017,Processo Seletivo - SiSU,2018,Jubilamento,Guajara-Mirim-RO,Preta,Sem Deficiencia,"Candidatos de Escola Publica com Baixa Renda (Pretos, Pardos e Indigenas)",Possuia
04A618A2545A0DE34DFB745893E06524,Acima de 35 anos,2020,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica Independente de Renda PPI,Não Possuia
04D7652DAFC4DD22045934F054168C0F,Acima de 35 anos,2022,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
052760BD8E212726717FE6D070748880,19-25 anos,2012,Enem,2014,Desistencia,Assis Brasil-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
05B52E6F0EBB4CD3798ABD4047D2A7ED,Acima de 35 anos,2023,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
05C0AE7C6B605732401AA102A62970B3,19-25 anos,2010,Vestibular,2016,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
05CD9795646D1077A743ADA13FBC2C62,26-35 anos,2015,Processo Seletivo - SiSU,2019,Formado,Araraquara-SP,Branca,Sem Deficiencia,Geral,Possuia
05EDE5CEDAD6C61EF99376296B0699EF,26-35 anos,2017,Processo Seletivo - SiSU,2018,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
066763A699FBE4DC6205BAC5D616162B,19-25 anos,2009,Transferencia Externa,2012,Formado,Rolim de Moura-RO,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
069026DD46EFB390001A2661E32C84C4,26-35 anos,2022,Portador de Diploma Superior,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
06A0C7649829DE337BF494D3CE6C9850,19-25 anos,2018,Processo Seletivo - SiSU,,Sem Evasao,Recife-PE,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
06F2AE7068EE80CF19E8083BF7F3091E,Acima de 35 anos,2015,Transferencia Externa,2022,Formado,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0780E8F5D5DF0C219DCAFAE6E0F35043,Menos de 19 anos,2008,Vestibular,2014,Jubilamento,Nao informado,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0794D3078E43642BA113CDE820882E86,26-35 anos,2019,Processo Seletivo - SiSU,2022,Jubilamento,Porto Walter-AC,Preta,Sem Deficiencia,Candidatos de Escola Publica Independente de Renda PPI,Não Possuia
07DB8D8B0AC1F36C817CA394F9C44744,Menos de 19 anos,2011,Vestibular,2014,Jubilamento,Recife-PE,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
084C141BCB1A60BB9619AAFC340241FD,19-25 anos,2015,Processo Seletivo - SiSU,2019,Formado,Vila Velha-ES,Preta,Sem Deficiencia,Geral,Possuia
086188439A1F20760E30C07624ED6674,19-25 anos,2013,Processo Seletivo - SiSU,2020,Desistencia,Rio Branco-AC,Preta,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Não Possuia
08AA869CBCA066C1278B2D2E4ED7B19D,Menos de 19 anos,2013,Processo Seletivo - SiSU,2016,Formado,Brasilia-DF,Nao Declarada,Sem Deficiencia,Vagas destinadas aos candidatos de escola publica e baixa renda,Possuia
08CC5F2A7C7868992D52D55136C92355,Acima de 35 anos,2020,Processo Seletivo - SiSU,,Sem Evasao,Tarauaca-AC,Preta,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Possuia
08DDA5E632C4DF6CB9F626C26B27CF14,19-25 anos,2018,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Fisica,Candidatos com deficiencia (geral),Possuia
0A61CA65B273DB8211E9C20D35EBFD4A,26-35 anos,2013,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Não Possuia
0AA1511124EA5B7EA5D54E0A648BF830,Acima de 35 anos,2021,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Preta,Sem Deficiencia,Candidatos de Escola Publica com Baixa Renda PPI,Possuia
0AB125652E17E83893FBEA61BECC9454,Menos de 19 anos,2018,Processo Seletivo - SiSU,2023,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,Candidatos de Escola Publica Independente de Renda PPI,Possuia
0ACE141F8779C77B60CDC66FA22DA900,Menos de 19 anos,2011,Vestibular,2018,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0AD19A1CD666B3B65B6E46AD4CCC42F5,19-25 anos,2008,Vestibular,2014,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0B214389FAC101BF39D422494DB14302,26-35 anos,2013,Processo Seletivo - SiSU,2014,Jubilamento,Rio Branco-AC,Nao Declarada,Deficiencia Sensorial Visual,Vagas destinados aos candidatos deficientes,Não Possuia
0C28423A88B5DBFFD0D1EE2AEC41EFD0,19-25 anos,2017,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Parda,Sem Deficiencia,"Candidatos de Escola Publica com Baixa Renda (Pretos, Pardos e Indigenas)",Não Possuia
0C71F0A8C36A3212E6569E6186FEBD41,26-35 anos,2013,Processo Seletivo - SiSU,2014,Jubilamento,Rio Branco-AC,Nao Declarada,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Não Possuia
0C9AECD2692CFE28067BB0EBA9AE409A,Menos de 19 anos,2012,Enem,2014,Desistencia,Cuiaba-MT,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0D45AF329C08F0C1A96B274414684A37,19-25 anos,2018,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0D697DA70A16C81E76AD0DC23026455C,Acima de 35 anos,2012,Enem,2018,Jubilamento,Rio de Janeiro-RJ,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0DC8732A8BA6B3B578C1E891A9EB6AA3,Menos de 19 anos,2011,Vestibular,2017,Formado,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Possuia
0DD0D0B69018277376ED20A21DD83D05,Acima de 35 anos,2022,Processo Seletivo - SiSU,2023,Jubilamento,Rio Branco-AC,Preta,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0DE2ED0FE0325D1D3F608825CF383E2E,19-25 anos,2016,Reopcao de Curso,,Sem Evasao,Rio Branco-AC,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Possuia
0E98729842C746B65E68C204D5C17C2A,Menos de 19 anos,2015,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Geral,Não Possuia
0EC15BAA9437436FFF3E5FDBB4A7CAE3,19-25 anos,2011,Vestibular,2014,Jubilamento,Nao informado,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0EC5BA872F1179835987F9028C4CC4DF,Menos de 19 anos,2008,Vestibular,2012,Formado,Cruzeiro do Sul-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0F3DF30B426F47754822336CE604D5CD,Menos de 19 anos,2018,Processo Seletivo - SiSU,2022,Jubilamento,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0F54CB96BECE9D1A664BBA2EB760DEAA,19-25 anos,2019,Transferencia Externa,2020,Transferido,Assis Chateaubriand-PR,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0F995C9AEB1565EDD78ADB37D2993D66,19-25 anos,2010,Vestibular,2010,Desistencia,Rio Branco-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0FB52B18A70889F009010ECF918BA7D9,Acima de 35 anos,2020,Processo Seletivo - SiSU,,Sem Evasao,Rio Branco-AC,Parda,Sem Deficiencia,Ampla Concorrencia,Não Possuia
0FB8280EA2D4C3DEA9DB1C1C7FFA4581,Acima de 35 anos,2018,Processo Seletivo - SiSU,2019,Desistencia,Rio Branco-AC,Preta,Deficiencia Sensorial Visual,Deficiente,Não Possuia
10527289DA58F369EF0D6AE2BB73E646,Menos de 19 anos,2010,Vestibular,2014,Desistencia,Assis Brasil-AC,Branca,Sem Deficiencia,Ampla Concorrencia,Não Possuia
106BBAA15362A719F7F61EBA4845F4F5,19-25 anos,2017,Processo Seletivo - SiSU,2017,Desistencia,Rio Branco-AC,Parda,Sem Deficiencia,"Candidatos de Escola Publica com Baixa Renda (Pretos, Pardos e Indigenas)",Não Possuia
