ESTADO_CIVIL,IDADE,FORMA_INGRESSO,FORMA_EVASAO,ETNIA,DEFICIENCIAS,COTAS,NOME_DISCIPLINA,SITUACAO_DISCIPLINA,MEDIA_FINAL,FALTAS,BOLSA
Outros,Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,Ampla Concorrencia,Marketing,Aprovado,5-8,Acima de 25%,Nao Possuia
Outros,Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,Ampla Concorrencia,Topicos de Calculo II,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Economia e Financas,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Fundamentos de Sistemas de Informacao,Aprovado,5-8,20-25%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Marketing,Aprovado,5-8,10-15%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Arquitetura e Organizacao de Computador,Reprovado,0-5,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Jubilamento,Branca,Sem Deficiencia,Ampla Concorrencia,Topicos de Calculo II,Reprovado,0-5,0-5%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Fundamentos de Sistemas de Informacao,Aprovado,5-8,10-15%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Marketing,Aprovado,5-8,10-15%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Arquitetura e Organizacao de Computador,Aprovado,8-10,15-20%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao I,Reprovado,0-5,5-10%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Linguagem de Programacao I,Reprovado,0-5,Acima de 25%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Arquitetura e Organizacao de Computador,Reprovado,0-5,0-5%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Economia e Financas,Reprovado,0-5,0-5%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Topicos de Calculo II,Reprovado,0-5,0-5%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Topicos de Calculo II,Reprovado por Frequencia,0-5,Acima de 25%,Nao Possuia
Nao informado,19-25 anos,Processo Seletivo - SiSU,Jubilamento,Nao Declarada,Sem Deficiencia,Ampla Concorrencia,Economia e Financas,Trancamento Parcial,Nao informado,0-5%,Nao Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Linguagem de Programacao I,Aprovado,8-10,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Arquitetura e Organizacao de Computador,Aprovado,5-8,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Economia e Financas,Aprovado,8-10,0-5%,Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Fundamentos de Sistemas de Informacao,Aprovado,8-10,10-15%,Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Marketing,Aprovado,8-10,20-25%,Possuia
Solteiro(a),Menos de 19 anos,Processo Seletivo - SiSU,Formado,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas de baixa renda",Topicos de Calculo II,Aprovado,5-8,0-5%,Possuia
Casado(a),26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Linguagem de Programacao I,Aprovado,5-8,5-10%,Nao Possuia
Casado(a),26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Economia e Financas,Aprovado,5-8,0-5%,Nao Possuia
Casado(a),26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Fundamentos de Sistemas de Informacao,Aprovado,5-8,10-15%,Nao Possuia
Casado(a),26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Marketing,Aprovado,8-10,5-10%,Nao Possuia
Casado(a),26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Arquitetura e Organizacao de Computador,Reprovado,0-5,0-5%,Nao Possuia
Casado(a),26-35 anos,Processo Seletivo - SiSU,Jubilamento,Parda,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Arquitetura e Organizacao de Computador,Trancamento Total,Nao informado,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Branca,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Linguagem de Programacao I,Aprovado,8-10,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Branca,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Arquitetura e Organizacao de Computador,Aprovado,5-8,0-5%,Nao Possuia
Solteiro(a),19-25 anos,Processo Seletivo - SiSU,Formado,Branca,Sem Deficiencia,"Vagas destinadas aos pretos, pardos e indigenas independente de renda",Topicos de Calculo II,Aprovado,5-8,0-5%,Nao Possuia
